,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice
1,7,2003,2003,856,856,1710,2,8,2,548,208500
2,6,1976,1976,1262,1262,1262,2,6,2,460,181500
3,7,2001,2002,920,920,1786,2,6,2,608,223500
4,7,1915,1970,756,961,1717,1,7,3,642,140000
5,8,2000,2000,1145,1145,2198,2,9,3,836,250000
6,5,1993,1995,796,796,1362,1,5,2,480,143000
7,8,2004,2005,1686,1694,1694,2,7,2,636,307000
8,7,1973,1973,1107,1107,2090,2,7,2,484,200000
9,7,1931,1950,952,1022,1774,2,8,2,468,129900
10,5,1939,1950,991,1077,1077,1,5,1,205,118000
11,5,1965,1965,1040,1040,1040,1,5,1,384,129500
12,9,2005,2006,1175,1182,2324,3,11,3,736,345000
13,5,1962,1962,912,912,912,1,4,1,352,144000
14,7,2006,2007,1494,1494,1494,2,7,3,840,279500
15,6,1960,1960,1253,1253,1253,1,5,1,352,157000
16,7,1929,2001,832,854,854,1,5,2,576,132000
17,6,1970,1970,1004,1004,1004,1,5,2,480,149000
19,5,2004,2004,1114,1114,1114,1,6,2,576,159000
20,5,1958,1965,1029,1339,1339,1,6,1,294,139000
21,8,2005,2006,1158,1158,2376,3,9,3,853,325300
22,7,1930,1950,637,1108,1108,1,6,1,280,139400
23,8,2002,2002,1777,1795,1795,2,7,2,534,230000
24,5,1976,1976,1040,1060,1060,1,6,2,572,129900
25,5,1968,2001,1060,1060,1060,1,6,1,270,154000
26,8,2007,2007,1566,1600,1600,2,7,3,890,256300
27,5,1951,2000,900,900,900,1,5,2,576,134800
28,8,2007,2008,1704,1704,1704,2,7,3,772,306000
29,5,1957,1997,1484,1600,1600,1,6,1,319,207500
30,4,1927,1950,520,520,520,1,4,1,240,68500
31,4,1920,1950,649,649,1317,1,6,1,250,40000
32,5,1966,2006,1228,1228,1228,1,6,1,271,149350
33,8,2007,2007,1234,1234,1234,2,7,2,484,179900
34,5,1959,1959,1398,1700,1700,1,6,2,447,165500
35,9,2005,2005,1561,1561,1561,2,6,2,556,277500
36,8,2004,2005,1117,1132,2452,3,9,3,691,309000
37,5,1994,1995,1097,1097,1097,1,6,2,672,145000
38,5,1954,1990,1297,1297,1297,1,5,2,498,153000
39,5,1953,2007,1057,1057,1057,1,5,1,246,109000
41,6,1965,1965,1088,1324,1324,2,6,2,440,160000
42,5,1959,1959,1350,1328,1328,1,5,1,308,170000
43,5,1983,1983,840,884,884,1,5,2,504,144000
44,5,1975,1980,938,938,938,1,5,1,308,130250
45,5,1959,1959,1150,1150,1150,1,6,1,300,141000
46,9,2005,2005,1752,1752,1752,2,6,2,576,319900
47,7,2003,2003,1434,1518,2149,1,6,2,670,239686
48,8,2006,2006,1656,1656,1656,2,7,3,826,249700
50,5,1966,1966,955,955,955,1,6,1,386,127000
51,6,1997,1997,794,794,1470,2,6,2,388,177000
52,6,1934,1950,816,816,1176,1,6,2,528,114500
53,5,1963,1963,816,816,816,1,5,2,516,110000
54,9,1981,1987,1842,1842,1842,0,5,3,894,385000
55,5,1955,1955,384,1360,1360,1,6,2,572,130000
56,6,1964,1964,1425,1425,1425,2,7,2,576,180500
57,8,1999,2000,970,983,1739,2,7,2,480,172500
58,7,2004,2004,860,860,1720,2,7,2,565,196500
59,10,2006,2006,1410,1426,2945,3,10,3,641,438780
60,5,1972,1972,780,780,780,1,4,1,352,124900
61,6,2004,2004,1158,1158,1158,1,5,2,576,158000
62,5,1920,1996,530,581,1111,1,6,1,288,101000
63,8,2006,2006,1370,1370,1370,2,6,2,484,202500
64,7,1921,1950,576,902,1710,2,9,2,480,140000
65,7,1997,1998,1057,1057,2034,2,8,2,645,219500
66,8,2004,2005,1143,1143,2473,2,9,3,852,317000
67,7,1970,1989,1947,2207,2207,2,7,2,576,180000
68,7,2003,2003,1453,1479,1479,2,7,2,558,226000
69,4,1945,1950,747,747,747,1,4,1,220,80000
70,7,1953,1953,1304,1304,2287,2,7,2,667,225000
71,7,1973,1973,2223,2223,2223,2,8,2,516,244000
72,4,1982,2006,845,845,845,1,4,2,360,129500
73,7,1998,1998,832,885,1718,2,7,2,427,185000
74,5,1954,2003,1086,1086,1086,1,6,2,490,144900
75,3,1915,1950,840,840,1605,2,8,1,379,107400
76,4,1973,1973,462,526,988,1,5,1,297,91000
77,4,1956,1956,952,952,952,1,4,1,283,135750
78,5,1948,2001,672,1072,1285,1,6,1,240,127000
80,5,1910,1981,440,682,1230,1,5,2,440,110000
81,6,1968,1968,896,1182,2142,2,8,1,509,193500
82,6,1998,1998,1237,1337,1337,2,5,2,405,153500
83,8,2007,2007,1563,1563,1563,2,6,3,758,245000
84,5,1960,1960,1065,1065,1065,1,6,2,461,126500
85,7,1995,1996,384,804,1474,2,7,2,400,168500
86,8,1991,1992,1288,1301,2417,2,9,2,462,260000
87,6,2005,2005,684,684,1560,2,6,2,400,174000
88,6,2009,2009,612,612,1224,2,4,2,528,164500
92,5,1961,1961,1235,1235,1235,1,6,2,480,98600
93,5,1921,2006,876,964,964,1,5,2,432,163500
94,6,1910,1998,1214,1260,2291,2,9,2,506,133900
95,6,1997,1997,824,905,1786,2,7,2,684,204750
96,6,1993,1993,680,680,1470,2,6,2,420,185000
97,7,1999,1999,1588,1588,1588,2,6,2,472,214000
98,4,1965,1965,960,960,960,1,6,1,432,94750
99,5,1920,1950,458,835,835,1,5,1,366,83000
101,6,1977,2001,1610,1610,1610,2,6,2,480,205000
102,6,1985,1985,741,977,1732,2,7,2,476,178000
104,7,2009,2009,1226,1226,1226,2,6,3,740,198900
105,7,1931,1950,1040,1226,1818,1,7,1,240,169500
106,8,2003,2004,1053,1053,1992,2,9,2,648,250000
107,4,1885,1995,641,1047,1047,1,6,1,273,100000
