,EstimatedSalary
0,19000
1,20000
2,43000
3,57000
4,76000
5,58000
6,84000
7,150000
8,33000
9,65000
10,80000
11,52000
12,86000
13,18000
14,82000
15,80000
16,25000
17,26000
18,28000
19,29000
20,22000
21,49000
22,41000
23,22000
24,23000
25,20000
26,28000
27,30000
28,43000
29,18000
30,74000
31,137000
32,16000
33,44000
34,90000
35,27000
36,28000
37,49000
38,72000
39,31000
40,17000
41,51000
42,108000
43,15000
44,84000
45,20000
46,79000
47,54000
48,135000
49,89000
50,32000
51,44000
52,83000
53,23000
54,58000
55,55000
56,48000
57,79000
58,18000
59,117000
60,20000
61,87000
62,66000
63,120000
64,83000
65,58000
66,19000
67,82000
68,63000
69,68000
70,80000
71,27000
72,23000
73,113000
74,18000
75,112000
76,52000
77,27000
78,87000
79,17000
80,80000
81,42000
82,49000
83,88000
84,62000
85,118000
86,55000
87,85000
88,81000
89,50000
90,81000
91,116000
92,15000
93,28000
94,83000
95,44000
96,25000
97,123000
98,73000
99,37000
100,88000
101,59000
102,86000
103,149000
104,21000
105,72000
106,35000
107,89000
108,86000
109,80000
110,71000
111,71000
112,61000
113,55000
114,80000
115,57000
116,75000
117,52000
118,59000
119,59000
120,75000
121,72000
122,75000
123,53000
124,51000
125,61000
126,65000
127,32000
128,17000
129,84000
130,58000
131,31000
132,87000
133,68000
134,55000
135,63000
136,82000
137,107000
138,59000
139,25000
140,85000
141,68000
142,59000
143,89000
144,25000
145,89000
146,96000
147,30000
148,61000
149,74000
150,15000
151,45000
152,76000
153,50000
154,47000
155,15000
156,59000
157,75000
158,30000
159,135000
160,100000
161,90000
162,33000
163,38000
164,69000
165,86000
166,55000
167,71000
168,148000
169,47000
170,88000
171,115000
172,118000
173,43000
174,72000
175,28000
176,47000
177,22000
178,23000
179,34000
180,16000
181,71000
182,117000
183,43000
184,60000
185,66000
186,82000
187,41000
188,72000
189,32000
190,84000
191,26000
192,43000
193,70000
194,89000
195,43000
196,79000
197,36000
198,80000
199,22000
200,39000
201,74000
202,134000
203,71000
204,101000
205,47000
206,130000
207,114000
208,142000
209,22000
210,96000
211,150000
212,42000
213,58000
214,43000
215,108000
216,65000
217,78000
218,96000
219,143000
220,80000
221,91000
222,144000
223,102000
224,60000
225,53000
226,126000
227,133000
228,72000
229,80000
230,147000
231,42000
232,107000
233,86000
234,112000
235,79000
236,57000
237,80000
238,82000
239,143000
240,149000
241,59000
242,88000
243,104000
244,72000
245,146000
246,50000
247,122000
248,52000
249,97000
250,39000
251,52000
252,134000
253,146000
254,44000
255,90000
256,72000
257,57000
258,95000
259,131000
260,77000
261,144000
262,125000
263,72000
264,90000
265,108000
266,75000
267,74000
268,144000
269,61000
270,133000
271,76000
272,42000
273,106000
274,26000
275,74000
276,71000
277,88000
278,38000
279,36000
280,88000
281,61000
282,70000
283,21000
284,141000
285,93000
286,62000
287,138000
288,79000
289,78000
290,134000
291,89000
292,39000
293,77000
294,57000
295,63000
296,73000
297,112000
298,79000
299,117000
300,38000
301,74000
302,137000
303,79000
304,60000
305,54000
306,134000
307,113000
308,125000
309,50000
310,70000
311,96000
312,50000
313,141000
314,79000
315,75000
316,104000
317,55000
318,32000
319,60000
320,138000
321,82000
322,52000
323,30000
324,131000
325,60000
326,72000
327,75000
328,118000
329,107000
330,51000
331,119000
332,65000
333,65000
334,60000
335,54000
336,144000
337,79000
338,55000
339,122000
340,104000
341,75000
342,65000
343,51000
344,105000
345,63000
346,72000
347,108000
348,77000
349,61000
350,113000
351,75000
352,90000
353,57000
354,99000
355,34000
356,70000
357,72000
358,71000
359,54000
360,129000
361,34000
362,50000
363,79000
364,104000
365,29000
366,47000
367,88000
368,71000
369,26000
370,46000
371,83000
372,73000
373,130000
374,80000
375,32000
376,74000
377,53000
378,87000
379,23000
380,64000
381,33000
382,139000
383,28000
384,33000
385,60000
386,39000
387,71000
388,34000
389,35000
390,33000
391,23000
392,45000
393,42000
394,59000
395,41000
396,23000
397,20000
398,33000
399,36000
